Source;Human;Mouse;Function;Location;Target;Human;Mouse;Function;Location;Effects;Type of interaction;PubMedID
MSK2;O75676;Q9Z2B9;Kinase;Cytosol;HistoneH3;P68431;P68433;Histone;Nucleus;+;Phosphorylation;12773393
MSK1;O75582;Q8C050;Kinase;Cytosol;HMG14;P05114;P18608;Histone;Nucleus;+;Phosphorylation;12773393
MSK2;O75676;Q9Z2B9;Kinase;Cytosol;HMG14;P05114;P18608;Histone;Nucleus;+;Phosphorylation;12773393
EPHB2;P52799;P52800;Receptor;Membrane;SYNDECAN;P18827;P18828;Receptor;Membrane;+;Phosphorylation;11580899
DOC2;Q92608;Q8C3J5;Vesicle;Vesicles;MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;+;Binding;11027523
DOC2;Q92608;Q8C3J5;Vesicle;Vesicles;MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;+;Binding;10594652
DOC2;Q92608;Q8C3J5;Vesicle;Vesicles;MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;+;Binding;9736751
DOC2;Q92608;Q8C3J5;Vesicle;Vesicles;MUNC13;O14795;Q9Z1N9;Vesicle;Vesicles;+;Binding;9736751
PKC;P17252;P05697;Kinase;Cytosol;EGFR;P00533;Q01279;Receptor;Membrane;_;Phosphorylation;6321473
MEK5;Q13163;Q62862;Kinase;Cytosol;ERK5;Q13164;Q9WVS8;Kinase;Cytosol;+;Phosphorylation;7759517
KChIP1;Q9NZI2;Q9JJ57;Adapter;Cytosol;KV43;Q9UK17;Q9Z0V1;Channel;Membrane;0;Binding;15356203
KChIP2;Q9NS61;Q6DTJ2;Adapter;Cytosol;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;0;Binding;15356203
DREAM;Q9Y2W7;Q9QXT8;Adapter;Cytosol;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;0;Binding;15356203
KChIP4;Q9H294;Q6DTJ3;Adapter;Cytosol;KV42;Q9NZV8;Q9Z0V2;Channel;Membrane;+;Binding;15356203
IKKA;O15111;Q60680;Kinase;Cytosol;IKBA;P25963;Q9Z1E3;Inhibitor;Cytosol;0;Binding;9346241
PKCZETA;Q05513;Q02956;Kinase;Cytosol;IKKB;O14920;O88351;Kinase;Cytosol;+;Phosphorylation;10022904
PKCZETA;Q05513;Q02956;Kinase;Cytosol;MEK5;Q13163;Q62862;Kinase;Cytosol;+;Phosphorylation;11158308
SEQUESTOSOME;Q13501;O08623;Adapter;Cytosol;PKCZETA;Q05513;Q02956;Kinase;Cytosol;+;Binding;11158308
MEKK1;Q13233;P53349;Kinase;Cytosol;IKBA;P25963;Q9Z1E3;Inhibitor;Cytosol;_;Phosphorylation;9689078
MEKK1;Q13233;P53349;Kinase;Cytosol;IKKA;O15111;Q60680;Kinase;Cytosol;+;Phosphorylation;9689078
TRADD;Q15628;NA;Adapter;Cytosol;TRAF2;Q12933;P39429;Adapter;Cytosol;+;Binding;8565075
TRADD;Q15628;NA;Adapter;Cytosol;FADD;Q13158;Q61160;Adapter;Cytosol;+;Binding;8565075
TRAF2;Q12933;P39429;Adapter;Cytosol;NIK;Q99558;Q9WUL6;Kinase;Cytosol;0;Binding;9020361
NIK;Q99558;Q9WUL6;Kinase;Cytosol;IKKA;O15111;Q60680;Kinase;Cytosol;+;Phosphorylation;9244310
NIK;Q99558;Q9WUL6;Kinase;Cytosol;IKKB;O14920;O88351;Kinase;Cytosol;+;Phosphorylation;9244310
NIK;Q99558;Q9WUL6;Kinase;Cytosol;IKKB;O14920;O88351;Kinase;Cytosol;+;Phosphorylation;9346485
IKKB;O14920;O88351;Kinase;Cytosol;IKBA;P25963;Q9Z1E3;Inhibitor;Cytosol;_;Phosphorylation;9252186
IKKA;O15111;Q60680;Kinase;Cytosol;IKBA;P25963;Q9Z1E3;Inhibitor;Cytosol;_;Phosphorylation;9252186
