symbol	entrezID	CAM type	Inter Pro	GO	NCBI	Sum	name				
CDH1	999	i	1	1	1	3	cadherin 1				
CDH10	1008	i	1	1	1	3	cadherin 10				
CDH11	1009	i	1	1	1	3	cadherin 11				
CDH13	1012	i	1	1	1	3	cadherin 13 				
CDH15	1013	i	1	1	1	3	cadherin 15				
CDH16	1014	i	1	1	1	3	cadherin 16				
CDH17	1015	i	1	1	1	3	cadherin 17				
CDH2	1000	i	1	1	1	3	cadherin 2				
CDH23	64072	i	1	1	1	3	cadherin-related 23 				
CDH24	64403	i	1	1	1	3	cadherin 24 				
CDH3	1001	i	1	1	1	3	cadherin 3				
CDH4	1002	i	1	1	1	3	cadherin 4				
CDH6	1004	i	1	1	1	3	cadherin 6 				
CDH7	1005	i	1	1	1	3	cadherin 7				
CDH8	1006	i	1	1	1	3	cadherin 8				
CDH9	1007	i	1	1	1	3	cadherin 9				
CDHR2	54825	i	1	1	1	3	cadherin-related family member 2 				
CDHR5	53841	i	1	1	1	3	cadherin-related family member 5 				
CEACAM1	634	i	1	1	1	3	carcinoembryonic antigen-related cell adhesion molecule 1 				
CELSR2	1952	i	1	1	1	3	cadherin EGF LAG seven-pass G-type receptor 2 				
CLSTN1	22883	i	1	1	1	3	calsyntenin 1 				
CNTN4	152330	i	1	1	1	3	contactin 4 				
DCHS1	8642	i	1	1	1	3	dachsous cadherin-related 1 				
DSCAM	1826	i	1	1	1	3	Down syndrome cell adhesion molecule 				
DSCAML1	57453	i	1	1	1	3	Down syndrome cell adhesion molecule like 1 				
EPHA2	1969	i	1	1	1	3	EPH receptor A2 				
EPHA3	2042	i	1	1	1	3	EPH receptor A3 				
EPHA7	2045	i	1	1	1	3	EPH receptor A7 				
EPHA8	2046	i	1	1	1	3	EPH receptor A8 				
EPHB3	2049	i	1	1	1	3	EPH receptor B3 				
EPHB4	2050	i	1	1	1	3	EPH receptor B4 				
FAT1	2195	i	1	1	1	3	FAT atypical cadherin 1 				
FAT2	2196	i	1	1	1	3	FAT atypical cadherin 2 				
FAT4	79633	i	1	1	1	3	FAT atypical cadherin 4 				
L1CAM	3897	i	1	1	1	3	L1 cell adhesion molecule 				
LRRN2	10446	i	1	1	1	3	leucine rich repeat neuronal 2 				
NCAM2	4685	i	1	1	1	3	neural cell adhesion molecule 2 				
NLGN1	22871	i	1	1	1	3	neuroligin 1 				
NLGN2	57555	i	1	1	1	3	neuroligin 2 				
NLGN3	54413	i	1	1	1	3	neuroligin 3 				
NLGN4X	57502	i	1	1	1	3	neuroligin 4, X-linked 				
