Entry	Cross-reference (RefSeq)
P31946	NP_003395.1;NP_647539.1;
P62258	NP_006752.1;
Q04917	NP_003396.1;
P61981	NP_036611.2;
P31947	NP_006133.1;
P27348	NP_006817.1;
P63104	NP_001129171.1;NP_001129172.1;NP_001129173.1;NP_001129174.1;NP_003397.1;NP_663723.1;XP_005251118.1;XP_005251119.1;XP_005251120.1;
P30443	NP_001229687.1;
P01892	XP_006725814.1;
P04439	NP_002107.3;
P13746	
Q96QU6	NP_001120691.1;NP_115981.1;XP_005253227.1;
Q4AC99	NP_001027025.2;
P30447	
P05534	
P18462	
P30450	XP_006726110.1;
P30512	
P16188	
P16189	
P10314	
P16190	
P30453	
P30455	
P30456	
P30457	
P01891	
P10316	
P30459	
Q09160	
P01889	NP_005505.2;
P30460	
P30461	
P30462	
P30464	
P30466	XP_005275434.1;
P03989	
P30685	
P18463	
Q95365	
P30475	
Q04826	
P30479	
P30480	
P30481	
P30483	
P30484	
P30485	
P30486	
P30487	
P30488	
P18464	
P30490	
P30491	
P30492	
P30493	
P30495	
P18465	
P10319	
Q29940	
Q29836	
Q31612	
P30498	
Q31610	
Q29718	
P30499	
P30501	
P04222	
P30504	
Q9TNN7	
Q29963	
P10321	NP_002108.4;
P30505	
P30508	
P30510	
Q07000	
Q29960	
Q95604	
Q29865	
Q15172	NP_001186685.1;NP_006234.1;
Q15173	NP_006235.1;
Q14738	NP_001257405.1;NP_006236.1;NP_851307.1;NP_851308.1;
Q16537	NP_001269108.1;NP_001269109.1;NP_001269110.1;NP_001269111.1;NP_006237.1;
Q13362	NP_001155197.1;NP_001155198.1;NP_002710.2;NP_848701.1;NP_848702.1;XP_005267884.1;
P30153	NP_055040.2;
P30154	NP_001171033.1;NP_001171034.1;NP_002707.3;NP_859050.1;NP_859051.1;
P63151	NP_001171062.1;NP_002708.1;
Q00005	NP_001258828.1;NP_001258829.1;NP_001258877.1;NP_858060.2;NP_858061.2;NP_858062.1;NP_858063.1;NP_858064.1;
Q66LE6	NP_001278239.1;NP_060931.2;
Q9Y2T4	NP_001193923.1;NP_001193924.1;NP_001193925.1;NP_065149.2;NP_870991.1;
P04229	
P01912	NP_001230894.1;
P13760	
P13761	
Q30134	
Q9TQE0	
Q30167	
P20039	
Q95IE3	
Q5Y7A7	
Q9GIY3	
P01911	NP_002115.2;
Q29974	NP_002115.2;
P14060	NP_000853.1;
P26439	NP_000189.1;NP_001159592.1;
Q9H2F3	NP_001136249.1;NP_001136250.1;NP_079469.2;
Q9Y3L3	NP_061830.3;
P78314	NP_001116153.1;NP_001139327.1;NP_001139328.1;NP_003014.3;XP_005248056.1;
Q7L8J4	NP_085148.1;
O60239	NP_001018009.2;NP_004835.2;XP_006713483.1;
P46952	NP_036337.2;
P31937	NP_689953.1;
P29372	NP_001015052.1;NP_001015054.1;NP_002425.2;
P11171	NP_001159477.1;NP_001159478.1;NP_004428.1;NP_976217.1;XP_005245818.1;XP_005245821.1;
Q13541	NP_004086.1;
Q13542	NP_004087.1;
O60516	NP_003723.1;
Q9NRA8	NP_001157973.1;NP_001157974.1;NP_062817.2;XP_005261743.1;XP_005261744.1;XP_005261745.1;
P08195	NP_001012680.1;NP_001012682.1;NP_001013269.1;NP_002385.3;
P08908	NP_000515.2;
P28222	NP_000854.1;
P28221	NP_000855.1;
P28566	NP_000856.1;
P30939	NP_000857.1;XP_005264804.1;XP_005264805.1;XP_005264806.1;XP_005264807.1;XP_005264808.1;
P28223	NP_000612.1;NP_001159419.1;
P41595	NP_000858.3;
P28335	NP_000859.1;NP_001243689.1;NP_001243690.1;
P46098	NP_000860.2;NP_001155244.1;NP_998786.2;
O95264	NP_006019.1;
Q8WXA8	NP_570126.2;
Q70Z44	NP_001138615.1;NP_001157118.1;NP_872343.2;
A5X5Y0	NP_001243542.1;NP_001243543.1;NP_872395.2;NP_938055.1;NP_938056.1;XP_005247433.1;
Q13639	NP_000861.1;NP_001035259.1;NP_001035262.2;NP_001035263.1;NP_001273339.1;NP_955525.1;
P47898	NP_076917.1;
P50406	NP_000862.1;
P34969	NP_000863.1;NP_062873.1;NP_062874.1;
Q9BXI3	NP_115915.1;
Q96P26	NP_001002006.1;NP_001186015.1;NP_001186016.1;NP_001186017.1;NP_001186033.1;NP_150278.2;
Q9H0P0	NP_001002009.1;NP_001002010.1;NP_001159590.1;NP_057573.2;
Q969T7	NP_443167.4;
P49902	NP_001127845.1;NP_036361.1;XP_005269693.1;XP_005269696.1;
P21589	NP_001191742.1;NP_002517.1;
P56378	NP_001120865.1;NP_004885.1;
P52209	NP_002622.2;
O95336	NP_036220.1;
P05408	NP_001138229.1;NP_003011.1;
P36639	NP_002443.3;NP_945186.1;NP_945187.1;NP_945188.1;NP_945190.1;NP_945191.1;NP_945192.1;
P0DKL9	NP_001182510.1;
Q8IZ83	NP_001138868.1;NP_699160.2;
Q676U5	NP_001177195.1;NP_001177196.1;NP_060444.3;NP_110430.5;NP_942593.2;
Q8NAA4	NP_203746.1;XP_005274435.1;
P02763	NP_000598.2;
P19652	NP_000599.1;
P20848	
P01009	NP_000286.3;NP_001002235.1;NP_001002236.1;NP_001121172.1;NP_001121173.1;NP_001121174.1;NP_001121175.1;NP_001121176.1;NP_001121177.1;NP_001121178.1;NP_001121179.1;
P04217	NP_570602.2;
Q9NQ94	NP_001185747.1;NP_001185748.1;NP_001185749.1;NP_055391.2;NP_620310.1;NP_620311.1;XP_005269775.1;XP_005269776.1;XP_005269777.1;XP_006717871.1;XP_006717872.1;
Q8NF67	
Q5TYW2	NP_115626.2;
Q5SQ80	NP_001012421.1;
Q5VUR7	NP_001012419.1;
Q4UJ75	NP_001092275.1;
A0PJZ0	
Q96IX9	
P08697	NP_000925.2;NP_001159392.1;NP_001159393.1;XP_005256758.1;
P02750	NP_443204.1;
P01023	NP_000005.2;
A8K2U0	NP_001269353.1;
A7E2S9	
Q5T5F5	
Q9NPC4	NP_059132.1;XP_005261700.1;XP_005261701.1;XP_005261703.1;XP_005261704.1;XP_005261705.1;XP_006724328.1;XP_006724329.1;XP_006724330.1;
Q9UNA3	NP_057245.1;
P05067	NP_000475.1;NP_001129488.1;NP_001129601.1;NP_001129602.1;NP_001129603.1;NP_001191230.1;NP_001191231.1;NP_001191232.1;NP_958816.1;NP_958817.1;
Q96GX2	NP_001129734.1;
P30542	NP_000665.1;NP_001041695.1;
P29274	NP_000666.2;NP_001265426.1;NP_001265427.1;NP_001265428.1;NP_001265429.1;
P29275	NP_000667.1;
Q6P2N6	NP_001075445.1;
P33765	NP_000668.1;NP_065734.5;
Q9NS82	NP_062823.1;
P22760	NP_001077.2;XP_005247160.1;
Q9NRG9	NP_001166937.1;NP_056480.1;
Q15758	NP_001138616.1;NP_001138617.1;NP_005619.1;
Q86V21	NP_076417.2;XP_005253667.1;
P01011	NP_001076.2;
Q8N5Z0	NP_001273611.1;NP_001273612.1;NP_057312.1;NP_872603.1;
Q7RTV5	NP_714542.1;
Q6PD74	NP_001258814.1;NP_001258815.1;NP_078942.3;
Q2M2I8	NP_055726.3;
Q9Y478	NP_006244.2;XP_005253966.1;
O43741	NP_005390.1;
P54619	NP_001193638.1;NP_001193639.1;NP_002724.1;XP_006719562.1;
Q9UGJ0	NP_001035723.1;NP_057287.2;NP_077747.1;
Q9UGI9	NP_059127.2;
Q9H7C9	NP_078960.1;XP_005273995.1;
Q13685	NP_001078.2;
Q13131	NP_006242.5;NP_996790.3;
P54646	NP_006243.2;
Q9Y312	NP_001258803.1;NP_056326.2;XP_005260442.1;XP_006723833.1;
Q4LEZ3	NP_001020528.1;
P86434	
Q9BTE6	NP_001129514.2;NP_001248363.1;NP_079543.1;
Q9UDR5	NP_005754.2;
Q8NHS2	NP_689626.2;
P17174	NP_002070.1;
Q9NY61	NP_036270.1;
P00505	NP_001273149.1;NP_002071.2;
Q7Z5M8	NP_001193602.1;NP_861535.1;XP_005267413.1;XP_005267414.1;
Q96GS6	NP_001123583.1;NP_112490.3;XP_006722981.1;
Q5VST6	NP_001020951.1;NP_057098.2;XP_006717197.1;
Q6PCB6	NP_067037.1;
Q7Z5R6	NP_061916.3;XP_006717514.1;
P31941	NP_001180218.1;NP_663745.1;XP_005277016.1;XP_005277017.1;
Q9UH17	NP_001257340.1;NP_004891.4;
Q9NRW3	NP_055323.2;
Q96AK3	
Q8IUX4	NP_001006667.1;NP_660341.2;
Q9HC16	NP_068594.1;
Q6NTF7	NP_001159474.2;NP_001159475.2;NP_001159476.2;NP_861438.3;
O95477	NP_005493.2;
Q9BZC7	NP_001597.2;NP_997698.1;
Q99758	NP_001080.2;
P78363	NP_000341.2;
Q8WWZ7	NP_061142.2;NP_758424.1;
Q8N139	NP_525023.2;XP_006721853.1;
Q8IZY2	NP_061985.2;
O94911	NP_001275914.1;NP_001275915.1;NP_009099.1;XP_005256995.1;
Q8IUA7	NP_525022.2;
Q8WWZ4	NP_525021.3;
Q4W5N1	
Q86UK0	NP_056472.2;NP_775099.2;
Q86UQ4	NP_689914.3;
Q2M3G0	NP_001157413.1;NP_001157414.1;NP_001157465.1;NP_848654.3;
Q9NP58	NP_005680.1;
O75027	NP_001258625.1;NP_001258626.1;NP_001258627.1;NP_004290.2;
Q9NUT2	NP_001269220.1;NP_001269221.1;NP_001269222.1;NP_009119.2;
Q9NP78	NP_001229942.1;NP_001229943.1;NP_062570.1;NP_062571.1;NP_982269.2;
Q9NRK6	NP_036221.2;
O95342	NP_003733.2;
Q09428	NP_000343.2;NP_001274103.1;
O60706	NP_005682.2;NP_064693.2;XP_005253341.1;XP_005253343.1;XP_005253344.1;XP_005253345.1;
Q96J66	NP_115972.2;NP_149163.2;NP_660187.1;
Q9NSE7	
P33897	NP_000024.2;
Q9UBJ2	NP_005155.1;
P28288	NP_001116146.1;NP_002849.1;
O14678	NP_005041.1;
P61221	NP_001035809.1;NP_002931.2;
Q8NE71	NP_001020262.1;NP_001081.1;
Q9UG63	NP_005683.2;NP_009120.1;XP_005249988.1;XP_006715887.1;
Q9NUQ8	NP_060828.2;
P45844	NP_004906.3;NP_058198.2;NP_997057.1;NP_997510.1;NP_997511.1;NP_997512.1;
Q9UNQ0	NP_001244315.1;NP_004818.2;XP_005263411.1;XP_005263412.1;
Q9H172	NP_001135977.1;NP_071452.2;
Q9H222	NP_071881.1;
Q9H221	NP_071882.1;XP_005264540.1;
Q8N2K0	NP_001035937.1;NP_056415.1;
P41238	NP_001635.2;XP_005253412.1;
Q9Y235	NP_006780.1;
Q8WW27	NP_982279.1;
Q6UXT9	NP_937790.2;
Q96SE0	NP_115993.3;
P08910	NP_008942.3;NP_690888.1;XP_005254889.1;XP_005254890.1;
Q8WU67	NP_612213.2;
Q8TB40	NP_071343.2;
Q8WTS1	NP_057090.2;
Q9BV23	NP_065727.4;XP_005265393.1;
Q96I13	NP_078803.4;
Q9NUJ1	NP_001258998.1;NP_060864.1;
Q8NFV4	NP_001138836.1;NP_001287987.1;NP_683710.1;NP_683711.1;
Q7L211	NP_116248.2;
