INTERACTOR1	INTERACTION_TYPE	INTERACTOR2	PMID
FOXO3	CATALYSIS	p110*	10783894;11094066;11154281;11994454;15509806;16288288;17646672;18644865;20673124
AKT*	CATALYSIS	HOMER3	11882383;12040186;17680028;18218901;20028971;20214616;20398329;21303971;21506126;22094462
CDK6	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	p15INK4B*	10385618;10498883;10773440;8001816;8078588;8259215;8741839
APC2*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RSPO3	11226259;11274345;11779461;12533515;14704854;14747478;15265686;15375164;15388793;15618519;16263762;17127310;17884187;17986005;18000759;18256687;18497258;18851840;18953287;19020754;19151919;19366350;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21796133;22017973;7641885;8655584
MAFG	STATE_TRANSITION	small~MAF*	N/A
SURF1	CATALYSIS	COX6B*	10556303;11389896;15119951;19625251
LONP1	CATALYSIS	COX6A*	17418790
RPTOR	CATALYSIS	COX5A	18046414
E2F1_alone	POSITIVE_INFLUENCE	PURALPHA*	16741925
BID	STATE_TRANSITION	cleaved_BID*	10364179;10805722;11085742;11085743;11404357;11583622;11832478;11940658;17264306;18469004;9727492
_beta_-Catenin*	INHIBITION	CyclinD*	16039586;17143292;17666529;18974774;19619488;19623618;21285352;22290435;22761862;23343194
BRCA1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	ACACA	16326698
GSK3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PP2A_C*	10995457;16039586;16680151;17143292;18039929;18042541;18588945;19366350;19556239;19619488;20006983;23343194;7641885
GRB2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;UNKNOWN_CATALYSIS	IMP*	11023813;11274345;11777939;12040186;12782630;14585353;14724641;15173823;15547943;15574420;16488589;17178906;17496910;17613518;19289794;19541618;19565474;19568798;19615955;21102635;8929532
BAF53A*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EAF6*	17320397
LDHC	STATE_TRANSITION	LDH*	N/A
LDHB	STATE_TRANSITION	LDH*	N/A
ORC1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MCM5	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
RTK*	UNKNOWN_TRANSITION	IGF1R	N/A
DVL*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RSPO3	11226259;11274345;11779461;12533515;14704854;14747478;15265686;15375164;15388793;15618519;16263762;17127310;17884187;17986005;18000759;18256687;18497258;18851840;18953287;19020754;19151919;19366350;19565474;19853559;19910923;20006983;20093472;20215527;20351293;20947020;21069266;21078818;21087212;21316585;21380625;21397842;21796133;22017973;7641885;8655584
APC2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUB1	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
LDHA	STATE_TRANSITION	LDH*	N/A
FAAP100*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	TOP3A	11900249;12535671;12648680;12972610;15459660;15703371;16697054;17102137;17116885;17296725;17582221;17884153;18550849;18677104;18931676;19282663;19622404;19686080;19772495;19793801;19809470;19847258;20832754;21948210;22266823;22615860;22657828;23253856;23444773;24089143;24095737;8020957
EPHB2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	Ephrin-B1*	20179713
HDAC3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PHYSICAL_STIMULATION	SIN3A	14673164;17018611;17508028;17550342;22370643;22514743;22796940
CHEK1	CATALYSIS	CDC25C	11313986;12478465;12814430;15459660;15798197;17102137;17116885;17296725;17384638;17568790;17582221;18677104;19793801;20126263;9278512;9836640;9889122
CHEK2	CATALYSIS	CDC25C	11313986;12478465;12814430;15459660;15810020;17464182;17568790;18566216;20126263;9278512;9836640;9889122
APAF1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	APIP	15262985
APC2*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUB3	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
BARD1	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SFPQ	10858305;10931916;11571269;11877377;12947387;15220350;15459660;15590677;15650050;16697054;18660752;18931676;19473888;19525936;19622404;19686080;19759212;19772495;19793801;19847258;20029420;20081207;20376879;20723763;20813759;21060331;21337561;22505525;22751496;23444773
_beta_TRCP*	CATALYSIS	CyclinD*	11900249;12648680;15459660;15703371;16697054;17884153;18931676;19270156;19622404;19686080;19809470;19847258
ATM	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CTIP*	11850621;11877377;12202749;12607003;15385537;15459660;15485915;15964794;16163361;16449207;17116323;17303408;17965729;18087292;18171986;18398454;18511906;18524993;18558713;18584027;18716619;18809224;19202191;19357644;19362533;19490890;19654615;19772495;19793801;19892829;20051983;20064462;20691907;20723763;21376743;22657828;22743550;23082994;23161013;23253856;23847781;24036544;24050180;9721205
