Index,PMID,Gut Microbiota,Gut Microbiota NCBI ID,Rank,Strain,Gene,Gene ID,Alteration,high/low-throughput,Associative mode,human/mouse,Sample,Experimental method,Measurement?technique,Description,Condition,DOID
1,31142855,Eikenella,538,genus,,CXCL6,6372,inhibition,low-throughput,correlatively,human,rectum,cell culture,"HPLC analysis,qPCR,LC/MS analysis","The expression of several chemokine genes, some of which have reported antimicrobial properties37 (CXCL6, CCL20), were negatively correlated with the relative abundance of Eubacterium rectale (OTU 120) in the ileum, and Streptococcus (OTU 37) and Eikenella (OTU 39) in the rectum, suggesting that these species are the most susceptible to the activity of these chemokines.",inflammatory bowel disease,DOID:0050589
1,31142855,Eikenella,538,genus,,CCL20,6364,inhibition,low-throughput,correlatively,human,rectum,cell culture,"HPLC analysis,qPCR,LC/MS analysis","The expression of several chemokine genes, some of which have reported antimicrobial properties37 (CXCL6, CCL20), were negatively correlated with the relative abundance of Eubacterium rectale (OTU 120) in the ileum, and Streptococcus (OTU 37) and Eikenella (OTU 39) in the rectum, suggesting that these species are the most susceptible to the activity of these chemokines.",inflammatory bowel disease,DOID:0050589
1,31142855,Streptococcus,1301,genus,,CXCL6,6372,inhibition,low-throughput,correlatively,human,rectum,cell culture,"HPLC analysis,qPCR,LC/MS analysis","The expression of several chemokine genes, some of which have reported antimicrobial properties37 (CXCL6, CCL20), were negatively correlated with the relative abundance of Eubacterium rectale (OTU 120) in the ileum, and Streptococcus (OTU 37) and Eikenella (OTU 39) in the rectum, suggesting that these species are the most susceptible to the activity of these chemokines.",inflammatory bowel disease,DOID:0050589
1,31142855,Streptococcus,1301,genus,,CCL20,6364,inhibition,low-throughput,correlatively,human,rectum,cell culture,"HPLC analysis,qPCR,LC/MS analysis","The expression of several chemokine genes, some of which have reported antimicrobial properties37 (CXCL6, CCL20), were negatively correlated with the relative abundance of Eubacterium rectale (OTU 120) in the ileum, and Streptococcus (OTU 37) and Eikenella (OTU 39) in the rectum, suggesting that these species are the most susceptible to the activity of these chemokines.",inflammatory bowel disease,DOID:0050589
1,31142855,Agathobacter rectalis,39491,species,,DUOX2,50506,inhibition,low-throughput,correlatively,human,rectum,cell culture,"HPLC analysis,qPCR,LC/MS analysis","The genes involved included known IBD-associated host¨Cmicrobial interaction factors, including DUOX2 and its maturation factor DUOXA231,36, both of which were negatively associated with the abundance of Ruminococcaceae UCG 005 (OTU 89) in the ileum.",inflammatory bowel disease,DOID:0050589
1,31142855,Agathobacter rectalis,39491,species,,CXCL6,6372,inhibition,low-throughput,correlatively,human,rectum,cell culture,"HPLC analysis,qPCR,LC/MS analysis","The expression of several chemokine genes, some of which have reported antimicrobial properties37 (CXCL6, CCL20), were negatively correlated with the relative abundance of Eubacterium rectale (OTU 120) in the ileum, and Streptococcus (OTU 37) and Eikenella (OTU 39) in the rectum, suggesting that these species are the most susceptible to the activity of these chemokines.",inflammatory bowel disease,DOID:0050589
2,28893958,Lacticaseibacillus paracasei,1597,species,,Cldn2,12738,inhibition,low-throughput,causally,mouse,Caco-2 and T84 cells,cell culture,"real-time PCR,qPCR,Western blot assay","Using human intestinal epithelial cells (IECs), we discovered that SCFAs, particularly butyrate, enhanced IEC barrier formation, induced IL10RA mRNA, IL-10RA protein, and transactivation through activated Stat3 and HDAC inhibition. Loss and gain of IL10RA expression directly correlates with IEC barrier formation and butyrate represses permeability-promoting claudin-2 (Cldn2) tight-junction protein expression through an IL-10RA-dependent mechanism. Our findings provide a novel mechanism by which microbial derived butyrate promotes barrier through IL-10RA-dependent repression of Cldn2.",inflammatory bowel disease,DOID:0050589
2,28893958,Lacticaseibacillus paracasei,1597,species,,Stat3,20848,activation,low-throughput,causally,mouse,Caco-2 and T84 cells,cell culture,"real-time PCR,qPCR,Western blot assay","Using human intestinal epithelial cells (IECs), we discovered that SCFAs, particularly butyrate, enhanced IEC barrier formation, induced IL10RA mRNA, IL-10RA protein, and transactivation through activated Stat3 and HDAC inhibition. Loss and gain of IL10RA expression directly correlates with IEC barrier formation and butyrate represses permeability-promoting claudin-2 (Cldn2) tight-junction protein expression through an IL-10RA-dependent mechanism. Our findings provide a novel mechanism by which microbial derived butyrate promotes barrier through IL-10RA-dependent repression of Cldn2.",inflammatory bowel disease,DOID:0050589
2,28893958,Lacticaseibacillus paracasei,1597,species,,Hdac9,79221,inhibition,low-throughput,causally,mouse,Caco-2 and T84 cells,cell culture,"real-time PCR,qPCR,Western blot assay","Using human intestinal epithelial cells (IECs), we discovered that SCFAs, particularly butyrate, enhanced IEC barrier formation, induced IL10RA mRNA, IL-10RA protein, and transactivation through activated Stat3 and HDAC inhibition. Loss and gain of IL10RA expression directly correlates with IEC barrier formation and butyrate represses permeability-promoting claudin-2 (Cldn2) tight-junction protein expression through an IL-10RA-dependent mechanism. Our findings provide a novel mechanism by which microbial derived butyrate promotes barrier through IL-10RA-dependent repression of Cldn2.",inflammatory bowel disease,DOID:0050589
3,22654425,Lactobacillus crispatus,47770,species,M206119,Tjp1,21872,inhibition,low-throughput,causally,mouse,fecal and colon,cell culture,"RT-PCR,HPLC analysis","several candidate strains were screened to find some probiotics as therapeutics using dextran sodium sulfate (DSS)-induced colitis in mice, and China Center for Type Culture Collection (CCTCC) M206119 strain led to an exacerbated phenotype of DSS-colitis mice. Expression of protective factors zonula occludens-1 and ¦Â-defensin 2 was downregulated after CCTCC M206119 treatment. There was an increase in the nuclear translocation of nuclear factor-¦ÊB in epithelial cells. Then, intestinal proinflammatory and anti-inflammatory cytokine responses were evaluated. Proinflammatory colonic cytokines [interleukin (IL)-1¦Â, IL-6 and tumor necrosis factor-¦Á] levels were clearly increased in CCTCC-M206119-treated animals, whereas anti-inflammatory colonic cytokine (IL-10) level was lowered compared with saline- or 5-ASA-treated DSS-colitis mice. Next, CCTCC M206119 strain was identified as Lactobacillus crispatus, so it was concluded that not all lactobacilli strains have beneficial effects on intestinal inflammation and that Lactobacillus crispatus (L. crispatus) CCTCC M206119 is involved in exacerbation of intestinal inflammation in DSS-colitis mice.",inflammatory bowel disease,DOID:0050589
