TSLP	85480	CRLF2	64109	10974032;10974032	in vivo;in vitro	physical interaction
TSLP	85480	IL7R	3575	10974032;10974032	in vivo;in vitro	physical interaction
TSLP	85480	IL7R	3575	10881176	in vivo	physical interaction
TSLP	85480	CRLF2	64109	10881176	in vivo	physical interaction
IL7R	3575	CRLF2	64109	10881176	in vivo	physical interaction
CRLF2	64109	JAK2	3717	10872831	in vivo	physical interaction
IL7R	3575	JAK1	3716	20974963	in vivo	physical interaction
IL7R	3575	STAT5A	6776	20974963	in vivo	physical interaction
IL7R	3575	STAT5B	6777	20974963	in vivo	physical interaction
IRS1	3667	PIK3R1	5295	11788580	in vivo	physical interaction
IRS2	8660	PIK3R1	5295	11024460	in vivo	physical interaction
IRS2	8660	GRB2	2885	11788580	in vivo	physical interaction
IL9R	3581	KAT5	10524	10486269;10486269;10486269	in vivo;in vitro;two hybrid	physical interaction
IL9R	3581	JAK1	3716	8756628	in vivo	physical interaction
KAT5	10524	STAT3	6774	12551922	in vivo	physical interaction
IL9	3578	IL9R	3581	1376929	in vitro	physical interaction
IL9	3578	IL2RG	3561	7718508	in vitro	physical interaction
VCP	7415	IL9R	3581	11086075	in vivo	physical interaction
IRS1	5295	JAK1	3716	7544789	in vivo	physical interaction
IL9R	3581	IL2RG	3561	7718508	in vitro	physical interaction
IL2RG	3561	JAK3	3718	15621723	in vitro	physical interaction
STAT1	6772	STAT3	6774	9535918	in vivo	physical interaction
IRS1	3667	GRB2	2885	11788580	in vivo	physical interaction
CDK2	1017	CCNE1	898	10809788	in vivo	physical interaction
CDK2	1017	CDKN1B	1027	10809788	in vivo	physical interaction
TSHR	7253	STAT3	6774	10809230	in vivo	physical interaction
TSHR	7253	JAK1	3716	10809230	in vivo	physical interaction
TSHR	7253	JAK2	3717	10809230	in vivo	physical interaction
TSHR	7253	GNA12	2768	8552586	in vivo	physical interaction
TSHR	7253	GNA13	10672	17891229	in vivo	physical interaction
TSHR	7253	GNAQ	2776	17891229	in vivo	physical interaction
JAK1	3716	SOCS1	8651	10707961	in vivo	physical interaction
JAK1	3716	SOCS3	9021	10707961	in vivo	physical interaction
TSHR	7253	GNAO1	2775	17891229	in vivo	physical interaction
TSHR	7253	GNAI2	2771	17891229	in vivo	physical interaction
