P53350	O75116	1	1	17446864	IMP;IDA;IPI	plk1_pathway
Q13153	P53350	0	1	18427546	IMP;IDA	plk1_pathway
P53350	O00139	0	1	19351716	IMP;IDA;IPI	plk1_pathway
Q13535	Q00987	0	1	14654783	IMP;IDA	p53regulationpathway
Q00987	O15151	0	1	12963717;16163388	IMP;IDA	p53regulationpathway
P00519	Q00987	0	1	12110584	IMP;IDA;IPI	p53regulationpathway
Q13315	Q00987	0	1	10611322;11331603	IMP;IDA	p53regulationpathway
O15297	Q00987	0	1	17936559	IMP;IDA;IPI	p53regulationpathway
P08575	P06241	1	1	1464315	IMP;IDA	cd8tcrpathway
P08575	P06239	1	1	2141684;2548204	IDA	cd8tcrpathway
P43405	Q9UKW4	1	1	15711558	IMP;IDA;IOS	avb3_opn_pathway
P42574	Q05397	0	1	9642276	IDA	caspase_pathway
P55212	Q05397	0	1		NIL	caspase_pathway
P42574	O00211	1	1	10611247	IDA	caspase_pathway
P55212	P05783	0	1	9298992	NIL	caspase_pathway
P45983	P05412	1	1	10882101	IDA	il1pathway
P52564	P45983	1	1	10882101	NIL	il1pathway
P42566	O14964	0	1	18362181;16735510	IDA;IPI	erbb1_internalization_pathway
P12931	Q05397	1	1	16892055	IMP	erbb1_internalization_pathway
Q13418	P49841	1	1	17485554;16799642;9736715;17107957;20827300;17490631;12629168;15207235;17182785	IDA	ilk_pathway
P00519	Q00535	1	1	10896159	IDA;IPI	lis1pathway
Q92876	P37840	1	1	12928483	NIL	alphasynuclein_pathway
Q13315	Q8N0Z6	0	1	15448695	IMP;IDA	p53regulationpathway
Q13202	Q16539	1	1	8910287	NIL	p38alphabetapathway
Q13202	Q15759	1	1	8910287	NIL	p38alphabetapathway
Q96PM5	P04637	0	1	12654245	IMP;IDA;IPI	p53regulationpathway
Q04759	O95267	1	1	9819387;15899849	IDA;IOS	tcr_pathway
P68400	P46821	1	1	7690334	NIL	lis1pathway
Q14738	P46821	-1	1	7690334	NIL	lis1pathway
O15530	P31749	1	1	11809791	IDA;IOS	kitpathway
